NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Unit Per Package Size,Therapeutic Equivalent Code ,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date ,Date Reported to CMS
00904,7495,06,MAJOR PHARMACEUTICALS,Active,OMEGA-3 ACID ETHYL 1GM CAPSULES UD,01,0215458,N,1,N,11/15/2021,12/13/2024,TAB,50,AB,N,02/24/2025,02/24/2025,,,03/10/2025
00904,7505,61,MAJOR PHARMACEUTICALS,Active,BUPROPION ER 150MG TABLETS UD ,01,0090693,N,1,N,04/06/2017,11/25/2024,TAB,100,A3,N,02/24/2025,02/24/2025,,,03/10/2025
00904,7512,41,MAJOR PHARMACEUTICALS,Active,GUAIFENESIN DM 100-10MG/5ML SYRUP INNER,10,PART341,N,2,N,02/10/2025,02/10/2025,ML,5,NR,N,02/25/2025,02/25/2025,,,03/10/2025
00904,7512,70,MAJOR PHARMACEUTICALS,Active,GUAIFENESIN DM 100-10MG/5ML SYRUP UD,10,PART341,N,2,N,02/10/2025,02/10/2025,ML,500,NR,N,02/25/2025,02/25/2025,,,03/10/2025
00904,7513,66,MAJOR PHARMACEUTICALS,Active,GUAIFENESIN DM 200-20MG/10ML SYRUP (INNER),10,PART341,N,2,N,02/10/2025,02/10/2025,ML,10,NR,N,02/25/2025,02/25/2025,,,03/10/2025
00904,7513,72,MAJOR PHARMACEUTICALS,Active,GUAIFENESIN DM 200-20MG/10ML SYRUP UD,10,PART341,N,2,N,02/10/2025,02/10/2025,ML,1000,NR,N,02/25/2025,02/25/2025,,,03/10/2025
21922,0019,52,ENCUBE ETHICALS PVT. LTD.,Active,Testosterone 1% topical gel 2.5g 30 satchets,01,0212984,N,1,N,11/09/2021,11/19/2021,GM,2.5,AB,N,,11/19/2021,,,03/13/2025
21922,0048,05,ENCUBE ETHICALS PVT. LTD.,Active,Nitroglycerin 0.4% Ointment 30g,01,0216452,N,1,N,12/16/2024,03/01/2025,GM,30,AB,N,,03/01/2025,,,03/12/2025
21922,0070,06,ENCUBE ETHICALS PVT. LTD.,Active,Metronidazole 0.7% Topical Gel 45g,01,0077547,N,1,N,07/13/2006,02/01/2025,GM,45,AB,N,,02/01/2025,,,03/12/2025
21922,0074,40,ENCUBE ETHICALS PVT. LTD.,Active,Clindamycin1.2% - BPO 2.5% 50g,01,0207194,N,1,N,08/19/2019,02/01/2025,GM,50,AB,N,,02/01/2025,,,03/13/2025
21922,0076,05,ENCUBE ETHICALS PVT. LTD.,Active,Lidocaine 2.5% - Prilocaine 2.% Ext Cream 30g,01,0076320,N,1,N,08/27/2003,02/01/2025,GM,30,AB,N,,02/01/2025,,,03/12/2025
21922,0076,33,ENCUBE ETHICALS PVT. LTD.,Active,Lidocaine 2.5% - Prilocaine 2.5% Ext Cream 5gm lam tube,01,0076320,N,1,N,08/27/2003,02/01/2025,GM,5,AB,N,,02/01/2025,,,03/12/2025
21922,0076,47,ENCUBE ETHICALS PVT. LTD.,Active,Lidocaine 2.5% -- Prilocaine 2.5% Ext Cream 5gm,01,0076320,N,1,N,08/27/2003,02/01/2025,GM,5,AB,N,,02/01/2025,,,03/12/2025
30698,0455,01,"VALIDUS PHARMACEUTICALS, LLC.",Active,Raldesy,03,0218637,S,1,N,11/26/2024,03/17/2025,ML,300,NR,N,,03/17/2025,,,03/13/2025
30698,0455,02,"VALIDUS PHARMACEUTICALS, LLC.",Active,Raldesy,03,0218637,S,1,N,11/26/2024,03/17/2025,ML,150,NR,N,,03/17/2025,,,03/13/2025
31722,0080,30,"CAMBER PHARMACEUTICALS, INC.",Active,Lurasidone Hydrochloride Tablets 20 mg,01,0218174,N,1,N,08/21/2024,02/26/2025,TAB,30,AB,N,,02/26/2025,,,03/14/2025
31722,0081,30,"CAMBER PHARMACEUTICALS, INC.",Active,Lurasidone Hydrochloride Tablets 40 mg,01,0218174,N,1,N,08/21/2024,02/26/2025,TAB,30,AB,N,,02/26/2025,,,03/14/2025
31722,0082,30,"CAMBER PHARMACEUTICALS, INC.",Active,Lurasidone Hydrochloride Tablets 60 mg,01,0218174,N,1,N,08/21/2024,02/26/2025,TAB,30,AB,N,,02/26/2025,,,03/14/2025
31722,0083,30,"CAMBER PHARMACEUTICALS, INC.",Active,Lurasidone Hydrochloride Tablets 80 mg,01,0218174,N,1,N,08/21/2024,02/26/2025,TAB,30,AB,N,,02/26/2025,,,03/14/2025
31722,0084,30,"CAMBER PHARMACEUTICALS, INC.",Active,Lurasidone Hydrochloride Tablets 120 mg,01,0218174,N,1,N,08/21/2024,02/26/2025,TAB,30,AB,N,,02/26/2025,,,03/14/2025
31722,0303,31,"CAMBER PHARMACEUTICALS, INC.",Active,Bortezomib for Injection 3.5 mg/vial ,01,0212204,N,1,N,05/03/2024,02/21/2025,EA,1,AP,Y,,02/21/2025,,,03/14/2025
35573,0107,15,BUREL PHARMACEUTICALS,Active,"Betamethasone DP Aug Ointment 0.5%, 15g",01,0218289,N,1,N,04/10/2024,02/26/2025,GM,15,AB,N,02/26/2025,02/26/2025,,,03/11/2025
43598,0599,60,"DR. REDDY'S LABORATORIES, INC.",Active,DASATINIB TABLET 20MG 60'S USA,01,0213383,N,1,N,03/03/2025,03/04/2025,TAB,1,AB,N,03/04/2025,03/04/2025,,,03/13/2025
43598,0600,60,"DR. REDDY'S LABORATORIES, INC.",Active,DASATINIB TABLET 50MG 60'S USA,01,0213383,N,1,N,03/03/2025,03/04/2025,TAB,1,AB,N,03/04/2025,03/04/2025,,,03/13/2025
43598,0601,60,"DR. REDDY'S LABORATORIES, INC.",Active,DASATINIB TABLET 70MG 60'S USA,01,0213383,N,1,N,03/03/2025,03/04/2025,TAB,1,AB,N,03/04/2025,03/04/2025,,,03/13/2025
43598,0602,30,"DR. REDDY'S LABORATORIES, INC.",Active,DASATINIB TABLET 80MG 30'S USA,01,0213383,N,1,N,03/03/2025,03/04/2025,TAB,1,AB,N,03/04/2025,03/04/2025,,,03/13/2025
43598,0603,30,"DR. REDDY'S LABORATORIES, INC.",Active,DASATINIB TABLET 100MG 30'S USA,01,0213383,N,1,N,03/03/2025,03/04/2025,TAB,1,AB,N,03/04/2025,03/04/2025,,,03/13/2025
43598,0604,30,"DR. REDDY'S LABORATORIES, INC.",Active,DASATINIB TABLET 140MG 30'S USA,01,0213383,N,1,N,03/03/2025,03/04/2025,TAB,1,AB,N,03/04/2025,03/04/2025,,,03/13/2025
45861,0099,07,"Pharmaceutica North America, Inc. ",Active,Clotrimazole Cream 1%,10,PART333,N,2,N,12/10/2024,01/07/2025,GM,29,NR,N,,01/30/2025,,,03/11/2025
45861,0099,09,"Pharmaceutica North America, Inc. ",Active,Clotrimazole Cream 1%,10,PART333,N,2,N,12/10/2024,01/07/2025,GM,58,NR,N,,01/30/2025,,,03/11/2025
46122,0428,61,AMERISOURCE BERGEN,Active,GNP PSEUDOEPHEDRINE 30 MG,10,PART341,N,2,N,09/30/1990,08/03/2017,TAB,96,NR,N,,08/03/2017,,,03/13/2025
46122,0779,58,AMERISOURCE BERGEN,Active,GNP FEXOFENADINE HCL ,01,0091567,N,2,N,05/14/2024,11/12/2024,TAB,15,NR,N,,11/12/2024,,,03/11/2025
46122,0779,66,AMERISOURCE BERGEN,Active,GNP FEXOFENADINE HCL,01,0091567,N,2,N,05/14/2024,11/12/2024,TAB,90,NR,N,,11/12/2024,,,03/11/2025
46122,0787,34,AMERISOURCE BERGEN,Active,GNP LORATADINE S/F,01,0075728,N,2,N,10/30/2024,02/01/2025,ML,118,NR,N,,02/01/2025,,,03/13/2025
60687,0776,01,AMERICAN HEALTH PACKAGING,Active,Amoxicillin Capsule,01,0065271,N,1,N,02/16/2025,03/05/2025,CAP,100,AB,N,,03/05/2025,,,03/11/2025
60687,0776,11,AMERICAN HEALTH PACKAGING,Active,Amoxicillin Capsule,01,0065271,N,1,N,02/16/2025,03/05/2025,CAP,1,AB,N,,03/05/2025,,,03/11/2025
60687,0787,01,AMERICAN HEALTH PACKAGING,Active,Amoxicillin Capsule,01,0065271,N,1,N,02/16/2025,03/05/2025,CAP,100,AB,N,,03/05/2025,,,03/11/2025
60687,0787,11,AMERICAN HEALTH PACKAGING,Active,Amoxicillin Capsule,01,0065271,N,1,N,02/16/2025,03/05/2025,CAP,1,AB,N,,03/05/2025,,,03/11/2025
60687,0841,01,AMERICAN HEALTH PACKAGING,Active,Phenytoin Sodium ER Capsule,01,0204309,N,1,N,09/29/2024,02/10/2025,CAP,100,AB,N,,02/10/2025,,,03/11/2025
60687,0841,11,AMERICAN HEALTH PACKAGING,Active,Phenytoin Sodium ER Capsule,01,0204309,N,1,N,09/29/2024,02/10/2025,CAP,1,AB,N,,02/10/2025,,,03/11/2025
60687,0858,01,AMERICAN HEALTH PACKAGING,Active,Digoxin Tablet,01,0215307,N,1,N,01/10/2025,02/10/2025,TAB,100,AB,N,,02/10/2025,,,03/11/2025
60687,0858,11,AMERICAN HEALTH PACKAGING,Active,Digoxin Tablet,01,0215307,N,1,N,01/10/2025,02/10/2025,TAB,1,AB,N,,02/10/2025,,,03/11/2025
60687,0879,11,AMERICAN HEALTH PACKAGING,Active,Divalproex Sodium DR Tablet,01,0079163,N,1,N,01/10/2025,02/10/2025,TAB,1,AB,N,,02/10/2025,,,03/11/2025
60687,0879,61,AMERICAN HEALTH PACKAGING,Active,Divalproex Sodium DR Tablet,01,0079163,N,1,N,01/10/2025,02/10/2025,TAB,90,AB,N,,02/10/2025,,,03/11/2025
60687,0882,11,AMERICAN HEALTH PACKAGING,Active,Imatinib Mesylate Tablet,01,0079179,N,1,N,01/19/2025,02/24/2025,TAB,1,AB,N,,02/24/2025,,,03/11/2025
60687,0882,21,AMERICAN HEALTH PACKAGING,Active,Imatinib Mesylate Tablet,01,0079179,N,1,N,01/19/2025,02/24/2025,TAB,30,AB,N,,02/24/2025,,,03/11/2025
60923,0557,66,SAREPTA THERAPEUTICS INC.,Active,ELEVIDYS 66x10mL vials/kit 1.33E13 vg/mL,02,0125781,S,1,N,06/22/2023,02/07/2025,EA,1,NR,Y,,02/07/2025,,,03/13/2025
62559,0207,30,"ANI PHARMACEUTICALS, INC.",Active,Memantine & Donepezil Hydrochlorides ER Caps 21mg/10mg 30ct,01,0208237,N,1,N,12/15/2023,02/27/2025,CAP,30,AB,N,,02/27/2025,,,03/13/2025
65145,0118,01,Caplin Steriles Limited,Active,Sumatriptan Injection UPS 6mg per 0.5mL,01,0213998,N,1,N,07/13/2021,11/11/2024,ML,1,AP,Y,,01/30/2025,,,03/13/2025
65145,0118,05,Caplin Steriles Limited,Active,Sumatriptan Injection UPS 6mg per 0.5mL,01,0213998,N,1,N,07/13/2021,11/11/2024,ML,2.5,AP,Y,,01/30/2025,,,03/13/2025
65145,0131,01,Caplin Steriles Limited,Active,Rocuronium Bromide Injection 100mg per 10mL,01,0216234,N,1,N,03/02/2023,12/24/2024,ML,10,AP,Y,,01/30/2025,,,03/13/2025
65145,0131,10,Caplin Steriles Limited,Active,Rocuronium Bromide Injection 100mg per 10mL,01,0216234,N,1,N,03/02/2023,12/24/2024,ML,100,AP,Y,,01/30/2025,,,03/13/2025
65145,0133,01,Caplin Steriles Limited,Active,"Norepinephrine Bitartrate Injection, USP 4mg per 4mL",01,0217575,N,1,N,09/15/2023,11/04/2024,ML,4,AP,Y,,01/30/2025,,,03/13/2025
65145,0133,10,Caplin Steriles Limited,Active,"Norepinephrine Bitartrate Injection, USP 4mg per 4mL",01,0217575,N,1,N,09/15/2023,11/04/2024,ML,40,AP,Y,,01/30/2025,,,03/13/2025
65145,0145,01,Caplin Steriles Limited,Active,"Ketorolac Tromethamine Injection, UPS 30mg per 1mL",01,0217789,N,1,N,05/10/2023,12/19/2024,ML,1,AP,Y,,01/30/2025,,,03/13/2025
65145,0145,25,Caplin Steriles Limited,Active,"Ketorolac Tromethamine Injection, UPS 30mg per 1mL",01,0217789,N,1,N,05/10/2023,12/19/2024,ML,25,AP,Y,,01/30/2025,,,03/13/2025
65145,0146,01,Caplin Steriles Limited,Active,"Ketorolac Tromethamine Injection, UPS 15mg per 1mL",01,0217789,N,1,N,05/10/2023,12/19/2024,ML,1,AP,Y,,01/30/2025,,,03/13/2025
65145,0146,25,Caplin Steriles Limited,Active,"Ketorolac Tromethamine Injection, UPS 15mg per 1mL",01,0217789,N,1,N,05/10/2023,12/19/2024,ML,25,AP,Y,,01/30/2025,,,03/13/2025
65145,0147,01,Caplin Steriles Limited,Active,"Ketorolac Tromethamine Injection, UPS 60mg per 2mL",01,0217789,N,1,N,05/10/2023,12/19/2024,ML,2,AP,Y,,01/30/2025,,,03/13/2025
65145,0147,25,Caplin Steriles Limited,Active,"Ketorolac Tromethamine Injection, UPS 60mg per 2mL",01,0217789,N,1,N,05/10/2023,12/19/2024,ML,50,AP,Y,,01/30/2025,,,03/13/2025
68001,0622,05,BLUEPOINT LABORATORIES,Active,Imatinib Mesylate Tablet,01,0212773,N,1,N,12/06/2024,03/03/2025,TAB,90,AB,N,,03/03/2025,,,03/11/2025
68001,0623,04,BLUEPOINT LABORATORIES,Active,Imatinib Mesylate Tablet,01,0212773,N,1,N,12/06/2024,02/19/2025,TAB,30,AB,N,,02/19/2025,,,03/11/2025
68001,0630,00,BLUEPOINT LABORATORIES,Active,Nadolol Tablet,01,0210955,N,1,N,01/07/2025,02/25/2025,TAB,100,AB,N,,02/25/2025,,,03/11/2025
68001,0631,00,BLUEPOINT LABORATORIES,Active,Nadolol,01,0210955,N,1,N,01/07/2025,02/19/2025,TAB,100,AB,N,,02/19/2025,,,03/11/2025
68001,0632,00,BLUEPOINT LABORATORIES,Active,Nadolol Tablet,01,0210955,N,1,N,01/07/2025,02/25/2025,TAB,100,AB,N,,02/25/2025,,,03/11/2025
70710,1741,06,ZYDUS PHARMACEUTICALS (USA) INC.,Active,DASATINIB TAB 20MG (60 CT),01,0218719,N,1,N,03/03/2025,03/10/2025,TAB,1,AB,N,03/10/2025,03/10/2025,,,03/13/2025
70710,1742,06,ZYDUS PHARMACEUTICALS (USA) INC.,Active,DASATINIB TAB 50MG (60 CT),01,0218719,N,1,N,03/03/2025,03/06/2025,TAB,1,AB,N,03/06/2025,03/06/2025,,,03/13/2025
70710,1743,06,ZYDUS PHARMACEUTICALS (USA) INC.,Active,DASATINIB TAB 70MG (60 CT),01,0218719,N,1,N,03/03/2025,03/06/2025,TAB,1,AB,N,03/06/2025,03/06/2025,,,03/13/2025
70710,1744,03,ZYDUS PHARMACEUTICALS (USA) INC.,Active,DASATINIB TAB 80MG (30 CT),01,0218719,N,1,N,03/03/2025,03/06/2025,TAB,1,AB,N,03/06/2025,03/06/2025,,,03/13/2025
70710,1745,03,ZYDUS PHARMACEUTICALS (USA) INC.,Active,DASATINIB TAB 100MG (30 CT),01,0218719,N,1,N,03/03/2025,03/06/2025,TAB,1,AB,N,03/06/2025,03/06/2025,,,03/13/2025
70710,1746,03,ZYDUS PHARMACEUTICALS (USA) INC.,Active,DASATINIB TAB 140MG (30 CT),01,0218719,N,1,N,03/03/2025,03/06/2025,TAB,1,AB,N,03/06/2025,03/06/2025,,,03/13/2025
70756,0312,30,LIFESTAR PHARMA LLC,Active,"TELMISARTAN TABLETS USP20MG, 30CT",01,0218157,N,1,N,10/15/2024,02/12/2025,TAB,30,AA,N,,02/12/2025,,,03/14/2025
70756,0313,30,LIFESTAR PHARMA LLC,Active,"TELMISARTAN TABLETS USP . 40MG, 30CT",01,0218157,N,1,N,10/15/2024,02/25/2025,TAB,30,AA,N,,02/25/2025,,,03/14/2025
70954,0784,10,"ANI PHARMACEUTICALS, INC.",Active,Nabumetone Tablets 500mg 100ct,01,0219118,N,1,N,01/07/2025,02/27/2025,TAB,100,AB,N,,02/27/2025,,,03/13/2025
70954,0785,10,"ANI PHARMACEUTICALS, INC.",Active,Nabumetone Tablets 750mg 100ct,01,0219118,N,1,N,01/07/2025,02/27/2025,TAB,100,AB,N,,02/27/2025,,,03/13/2025
71800,0031,03,Innovida Pharmaceutique Corporation,Active,LUBRICANT EYE DROP,10,PART349,N,2,N,02/11/2025,02/11/2025,ML,7.5,NR,N,,02/11/2025,,,03/10/2025
71800,0031,06,Innovida Pharmaceutique Corporation,Active,LUBRICANT EYE DROP,10,PART349,N,2,N,02/11/2025,02/11/2025,ML,15,NR,N,,02/11/2025,,,03/10/2025
71800,0040,02,Innovida Pharmaceutique Corporation,Active,Aspirin 81mg,10,PART343,N,2,N,02/10/2025,02/10/2025,EA,1,NR,N,,02/10/2025,,,03/10/2025
71800,0041,01,Innovida Pharmaceutique Corporation,Active,Aspirin 325mg,10,PART343,N,2,N,02/10/2025,02/10/2025,EA,1,NR,N,,02/10/2025,,,03/10/2025
71800,0043,04,Innovida Pharmaceutique Corporation,Active,Benzoyl Peroxide Gel 5%,10,PART333,N,2,N,02/10/2025,02/10/2025,GM,42.5,NR,N,,02/10/2025,,,03/10/2025
71800,0044,09,Innovida Pharmaceutique Corporation,Active,Benzoyl Peroxide 5% Lotion ,10,PART333,N,2,N,02/10/2025,02/10/2025,ML,29.5,NR,N,,02/10/2025,,,03/10/2025
71800,0045,06,Innovida Pharmaceutique Corporation,Active,Benzoyl Peroxide 10% Gel,10,PART333,N,2,N,02/10/2025,02/10/2025,GM,60,NR,N,,02/10/2025,,,03/10/2025
71800,0046,09,Innovida Pharmaceutique Corporation,Active,Benzoyl Peroxide 10% Lotion ,10,PART333,N,2,N,02/10/2025,02/10/2025,ML,29.5,NR,N,,02/10/2025,,,03/10/2025
72578,0164,05,VIONA PHARMACEUTICALS INC.,Active,FLUDROCORTISONE TABS 0.1MG 500 CT,01,0219251,N,1,N,10/16/2024,02/21/2025,TAB,1,AB,N,02/21/2025,02/21/2025,,,03/13/2025
82292,0040,01,"Lumicell, Inc. ",Active,LUMISIGHT 39MG,03,0214511,S,1,N,04/17/2024,01/15/2025,EA,1,NR,Y,,01/30/2025,,,03/13/2025
82292,0040,10,"Lumicell, Inc. ",Active,LUMISIGHT 39MG,03,0214511,S,1,N,04/17/2024,01/15/2025,EA,1,NR,Y,,01/30/2025,,,03/13/2025
